,SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,COMMITMENT AMOUNT,Unnamed: 0,Unnamed: 1
0,,,,,,2017-2018,2018-2019,2019-2020
1,1.0,ARTHIK LIPI,BENGALI,DAILY(M),PORT BLAIR,"1,211,750","624,989","316,512"
2,2.0,INFO INDIA,HINDI,DAILY(M),PORT BLAIR,"673,676","667,265","66,545"
3,3.0,SANMARG,HINDI,DAILY(M),PORT BLAIR,0,"272,756","165,675"
4,4.0,THE ANDAMAN EXPRESS,ENGLISH,DAILY(M),PORT BLAIR,"1,042,171","485,418","168,674"
5,5.0,THE ECHO OF INDIA,ENGLISH,DAILY(M),PORT BLAIR,"2,660,578","2,016,642","1,040,729"
6,6.0,THE PHOENIX POST,ENGLISH,DAILY(M),PORT BLAIR,0,"179,084","9,010"
7,7.0,TODAY TIMES,ENGLISH,DAILY(M),PORT BLAIR,"654,122","1,059,438","510,314"
8,8.0,ARYAN AGE,ENGLISH,DAILY(M),PORTBLAIR,0,0,"48,692"
9,9.0,BANGLA MORCHA,HINDI,DAILY(M),PORTBLAIR,0,"382,933","158,304"
10,10.0,GRAMEENA JANA JEEVANATEJAMGODAVARI,TELUGU,DAILY(M),AMALAPURAM,0,0,"18,189"
11,11.0,ANDHRA BHOOMI,TELUGU,DAILY(M),ANANTHAPUR,"301,536","302,022","76,240"
12,12.0,ANDHRA JYOTHI,TELUGU,DAILY(M),ANANTHAPUR,"705,794","1,361,193","293,347"
13,13.0,ANDHRA PRABHA,TELUGU,DAILY(M),ANANTHAPUR,"538,121","539,508","53,493"
14,14.0,ASHRAYA,TELUGU,DAILY(M),ANANTHAPUR,"70,229","54,503","9,757"
15,15.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),ANANTHAPUR,"447,761","893,252","187,112"
16,16.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),ANANTHAPUR,"274,016","307,128","146,139"
17,17.0,SAKSHI,TELUGU,DAILY(M),ANANTHAPUR,"904,597","1,259,127","199,045"
18,18.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),ANANTHAPUR,"164,810","305,592","232,594"
19,19.0,VINIYOGA DHARSINI,TELUGU,MONTHLY,ANANTHAPUR,0,"16,474",0
20,20.0,CITY TIMES,TELUGU,DAILY(M),CHITTOOR,"26,584","164,680",0
21,21.0,MUTHYALASARAALU,TELUGU,MONTHLY,CHITTOOR,0,"7,295",0
22,22.0,ANDHRA DAIRY,TELUGU,DAILY(E),ELURU,"112,408","111,747","42,668"
23,23.0,GOPI KRISHNA,TELUGU,DAILY(M),ELURU,"396,804","882,600","120,986"
24,24.0,NETAJI,TELUGU,DAILY(E),ELURU,"50,544","318,013","39,152"
25,25.0,ANDHRA JYOTHI,TELUGU,DAILY(M),GUNTUR,"898,534","1,474,083","631,593"
26,26.0,ANDHRA PRABHA,TELUGU,DAILY(M),GUNTUR,"733,851","2,345,252","809,770"
27,27.0,BHARATHASAKTHI,TELUGU,DAILY(M),GUNTUR,"5,867","49,783","7,796"
28,28.0,GOOD MORNING ANDHRA,ENGLISH,DAILY(M),GUNTUR,"441,495","595,639","98,238"
29,29.0,JOURNALIST NIGHAA,TELUGU,DAILY(M),GUNTUR,"31,784","186,611","6,143"
30,30.0,NANDI TIMES,TELUGU,DAILY(M),GUNTUR,0,"211,424","27,974"
31,31.0,NEETI DINA PATRIKA SURYA,TELUGU,DAILY(M),GUNTUR,"15,549",0,0
32,32.0,SAKSHI,TELUGU,DAILY(M),GUNTUR,"2,363,302","1,463,863","622,059"
33,33.0,SURYA,TELUGU,DAILY(M),GUNTUR,0,0,"7,588"
34,34.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),GUNTUR,"911,513","567,636","39,567"
35,35.0,ANDHRA JYOTHI,TELUGU,DAILY(M),KADAPA,"489,917","634,726","155,609"
36,36.0,BHARATHA SAKTHI,TELUGU,DAILY(M),KADAPA,"12,101","57,129","12,382"
37,37.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),KADAPA,"460,115","963,195","507,652"
38,38.0,SAKSHI,TELUGU,DAILY(M),KADAPA,"778,865","812,882","152,002"
39,39.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),KADAPA,"208,501","277,316","17,867"
40,40.0,SENA,TELUGU,DAILY(M),KAIKALURU,"3,417","15,360",0
41,41.0,ANDHRA JYOTHI,TELUGU,DAILY(M),KAKINADA,"810,342","991,090","46,194"
42,42.0,NETI ANDHRA,TELUGU,DAILY(M),KAKINADA,"583,334","695,386","453,970"
43,43.0,YERRA BAATA,TELUGU,MONTHLY,KAKINADA,0,"5,211",0
44,44.0,RAJANNARAJYAM,TELUGU,DAILY EXCEPTSUNDAY,KRISHNA DISTRICT,"30,786","271,068","50,848"
45,45.0,ANDHRA JYOTHI,TELUGU,DAILY(M),KURNOOL,"176,875","633,988","249,764"
46,46.0,ANDHRA PRABHA,TELUGU,DAILY(M),KURNOOL,0,0,"7,123"
47,47.0,NANDI TIMES,TELUGU,DAILY(M),KURNOOL,"148,577","328,829","51,381"
48,48.0,NEETI DINAPATRIKA SURYA,TELUGU,DAILY(M),KURNOOL,0,"26,484","32,904"
49,49.0,PRAJASAKTI,TELUGU,DAILY(M),KURNOOL,"537,677","559,854","262,549"
50,50.0,SAKSHI,TELUGU,DAILY(M),KURNOOL,"910,949","1,110,674","227,959"
51,51.0,TEL J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),KURNOOL,"150,035","515,111","44,551"
52,52.0,THE HANS INDIA,ENGLISH,DAILY(M),KURNOOL,"10,066","223,889","49,810"
53,53.0,VISALAANDHRA,TELUGU,DAILY(M),KURNOOL,"135,622","122,521","14,216"
54,54.0,VISHAYASUCHANA,TELUGU,DAILY(M),KURNOOL,"228,160","262,592","31,936"
55,55.0,ANDHRA BHOOMI,TELUGU,DAILY(M),NELLORE,"109,123","303,626","12,874"
56,56.0,ANDHRA JYOTHI,TELUGU,DAILY(M),NELLORE,"711,312","624,184","235,840"
57,57.0,ANDHRA PRABHA,TELUGU,DAILY(M),NELLORE,"252,104","578,530","157,995"
58,58.0,ANTHIMA THEERPU,TELUGU,MONTHLY,NELLORE,0,"55,958","13,173"
59,59.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),NELLORE,"385,157","419,899","108,296"
60,60.0,PUNNAMI,TELUGU,DAILY(M),NELLORE,"67,480","12,623","4,541"
61,61.0,PUNNAMI,TELUGU,MONTHLY,NELLORE,"90,392","121,717","29,815"
62,62.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),NELLORE,"183,648","397,987","211,679"
0,64.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),NELLORE,"823,217","843,297","249,596"
1,65.0,ANDHRA JYOTHI,TELUGU,DAILY(M),ONGOLE,"246,881","670,471","135,801"
2,66.0,PRAJASAKTI,TELUGU,DAILY(M),ONGOLE,"219,805","771,666","193,058"
3,67.0,SAKSHI,TELUGU,DAILY(M),ONGOLE,"486,738","851,401","129,668"
4,68.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),ONGOLE,0,0,"12,920"
5,69.0,ANDHRA BHOOMI,TELUGU,DAILY(M),RAJAHMUNDRY,"132,656","128,788","24,146"
6,70.0,ANDHRA PRABHA,TELUGU,DAILY(M),RAJAHMUNDRY,"1,463,298","1,633,677","449,466"
7,71.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),RAJAHMUNDRY,"422,498","567,068","182,940"
8,72.0,PRAJASAKTI,TELUGU,DAILY(M),RAJAHMUNDRY,"604,342","686,109","225,434"
9,73.0,RURAL TODAY,TELUGU,DAILY(M),RAJAHMUNDRY,"70,530","207,607","9,413"
