,S. No.,Agency Name,2017-18,2018-19,2019-20
0,1,91 MOBILES.COM,"606,710","2 ,563,676","2 23,193"
1,2,AAJTAK.IN,-,-,-
2,3,ABPANANDA.IN,-,-,"6 3,026"
3,4,ABPASMITA.IN,-,-,"6 3,026"
4,5,ABPLIVE.IN,"2 ,743,403","4 ,458,588","8 36,375"
5,6,ABPMAJHA.IN,-,-,"1 48,809"
6,7,ABPNEWS.IN,-,-,"2 06,960"
7,8,AGLASEM.COM,-,-,"6 4,103"
8,9,AMARUJALA.COM,"1 ,564,934","3 ,342,759","7 09,044"
9,10,ASIANETNEWS.COM,-,-,"2 ,472,091"
10,11,BGR.IN,"7 63,615","1 ,218,096","1 16,666"
11,12,BHASKAR.COM,"6 ,899,728","2 0,259,337","2 ,679,051"
12,13,BOLLYWOODBHASKAR.COM,-,"3 90,640",-
13,14,BOLLYWOODLIFE.COM,-,"6 71,893","6 4,103"
14,15,BUSINESS-STANDARD.COM,"8 64,474","2 ,151,856","7 09,044"
15,16,CARDEKHO.COM,-,-,-
16,17,CATCHNEWS.COM,"8 06,788","7 55,239",-
17,18,CRICBUZZ.COM,"8 30,766","5 ,386,681","5 43,016"
18,19,CRICKET.YAHOO.COM,"8 3,345",-,-
19,20,CRICKETCOUNTRY.COM,-,"6 71,893",-
20,21,DAILYBHASKAR.COM,"1 88,682",-,-
21,22,DAILYHUNT.IN,-,-,-
22,23,DAILYNEWS360.COM,-,-,"7 9,545"
23,24,DAILYPIONEER.COM,-,-,"6 3,026"
24,25,DAILYTHANTHI.COM,"6 38,991","1 ,454,427","2 26,328"
25,26,DAINIKSAVERATIMES.COM,-,-,"6 3,026"
26,27,DECCANHERALD.COM,-,-,"6 3,026"
27,28,DIGIT.IN,-,-,"6 4,103"
28,29,DINAMANI.COM,"8 67,128","1 ,354,071","2 58,373"
29,30,DIVYABHASKAR.COM,"6 77,232","2 ,198,497","1 48,809"
30,31,DNAINDIA.COM,-,"3 ,044,400","2 06,960"
31,32,ECONOMICTIMES.COM,"1 ,738,909","8 ,675,846","2 06,960"
32,33,EENADU.NET,-,-,-
33,34,ESAKAL.COM,-,-,-
34,35,ESPNCRICINFO.COM,"8 71,431","5 ,918,823","6 87,566"
35,36,FILMIBEAT.COM,"1 88,682","1 ,386,092","6 4,103"
36,37,FINANCIALEXPRESS.COM,"7 14,474","2 ,356,436","5 93,242"
37,38,FIRSTPOST.COM,"2 ,429,767","7 ,666,403","8 30,423"
38,39,FRESHERSLIVE.COM,-,-,"6 4,103"
0,41,GAANA.COM,-,"2 90,975",-
1,42,GIZBOT.COM,"7 95,392","1 ,780,984","1 10,526"
2,43,GOODRETURNS.IN,-,-,"6 4,103"
3,44,HINDI.ZEENEWS.COM,-,-,"2 06,960"
4,45,HINDUSTANTIMES.COM,"2 ,743,403","8 ,680,566","8 94,526"
5,46,HINKHOJ.COM,"1 88,682",-,-
6,47,HOLIDAYIQ.COM,-,"3 ,053,918","6 87,566"
7,48,HOTSTAR.COM,-,-,-
8,49,HUNGAMA.COM,-,-,-
9,50,IBTIMES.CO.IN,"1 88,682","1 ,530,172","5 35,091"
10,51,IN.YAHOO.COM,"3 ,904,015",-,-
11,52,IN.YAHOO.COM,-,"9 ,641,521","7 77,777"
12,53,INDIA.COM,-,-,"1 42,857"
13,54,INDIANEXPRESS.COM,"3 ,106,351","2 3,045,251","1 ,944,737"
14,55,INDIATIMES.COM,"4 04,740","3 ,039,680",-
15,56,INDIATODAY.IN,"2 ,628,020","8 ,680,566","6 87,566"
16,57,INUTH.COM,-,-,"6 3,026"
17,58,IRCTC.CO.IN,-,"4 ,997,825","1 4,954,614"
18,59,JAGRAN.COM,"3 ,148,143","8 ,680,566","6 87,566"
19,60,JAGRANJOSH.COM,"1 ,888,907","3 ,442,680","2 88,238"
20,61,JANSATTA.COM,-,-,"2 06,960"
21,62,KHASKHABAR.COM,-,"1 44,119","8 36,375"
22,63,LIVEHINDUSTAN.COM,"5 23,365","3 ,342,759","7 09,044"
23,64,LIVEMINT.COM,"1 ,464,934","3 ,342,759","7 09,044"
24,65,LOKMAT.COM,-,-,-
25,66,LOKMATNEWS.IN,-,-,-
26,67,LOKSATTA.COM,"2 09,890","8 34,177","1 48,809"
27,68,MAHARASHTRATIMES.COM,-,"1 ,214,018",-
28,69,MAIL.YAHOO.COM,"3 ,158,213","8 ,155,002",-
29,70,MANORAMANEWS.COM,"4 67,821","1 ,236,350","1 15,802"
30,71,MANORAMAONLINE.COM,"1 ,097,113","1 ,738,288","1 59,090"
31,72,MAPSOFINDIA.COM,-,"3 ,749,168","6 07,119"
32,73,MATHRUBHUMI.COM,"1 ,564,934","3 ,080,840","3 85,418"
33,74,MENSXP.COM,-,-,"1 15,802"
34,75,MID-DAY.COM,"1 ,564,934","3 ,257,237","5 02,084"
35,76,MONEYBHASKAR.COM,"7 92,770","2 ,322,484","5 93,242"
36,77,MONEYCONTROL.COM,"2 ,291,021","8 ,057,887","8 94,526"
37,78,MONSTERINDIA.COM,"1 ,005,588","3 ,889,522","2 72,338"
38,79,NAIDUNIA.COM,-,-,-
39,80,NAIDUNIA.JAGRAN.COM,"8 50,460","1 ,159,573","7 9,545"
0,82,NAVBHARATTIMES.COM,"1 49,998","8 ,294,036",-
1,83,NDTV.COM,-,"9 ,086,000",-
2,84,NEWINDIANEXPRESS.COM,"1 ,514,934","2 ,174,617","6 50,893"
3,85,NEWS.YAHOO.COM,-,"1 99,517","4 95,814"
4,86,NEWS.YAHOO.COM,-,-,-
5,87,NEWS18.COM,"2 ,998,145","8 ,573,426","8 94,526"
6,88,NEWS18INDIA.COM,-,"3 11,111","9 18,071"
7,89,NEWSSTATE.COM,-,-,"4 06,020"
8,90,OLX.IN,"1 ,509,256","5 ,634,483","6 87,566"
9,91,ONEINDIA.COM,"2 ,291,021","8 ,586,166","8 94,526"
10,92,OPINDIA.COM,-,-,-
11,93,OUTLOOKINDIA.COM,-,-,"1 95,347"
12,94,PATRIKA.COM,"1 ,564,934","3 ,342,759","5 02,084"
13,95,PINKVILLA.COM,-,-,-
14,96,PRABHATKHABAR.COM,-,-,"1 48,809"
15,97,PROKERALA.COM,"8 74,339","2 ,455,221","7 09,044"
16,98,PUNJABKESARI.IN,"1 ,564,934","3 ,342,759","7 09,044"
17,99,QUIKR.COM,"4 ,252,544","1 2,746,552","2 ,472,091"
18,100,RAFTAAR.IN,"7 6,923","1 ,437,931","2 86,505"
19,101,READWHERE.COM,-,-,"6 3,026"
20,102,REDIFF.COM,"5 ,383,061","1 6,507,452","2 ,679,051"
