S. No.,Agency Name,2017-18,2018-19,2019-20
1,91 MOBILES.COM,"606,710","2 ,563,676","2 23,193"
2,AAJTAK.IN,-,-,-
3,ABPANANDA.IN,-,-,"6 3,026"
4,ABPASMITA.IN,-,-,"6 3,026"
5,ABPLIVE.IN,"2 ,743,403","4 ,458,588","8 36,375"
6,ABPMAJHA.IN,-,-,"1 48,809"
7,ABPNEWS.IN,-,-,"2 06,960"
8,AGLASEM.COM,-,-,"6 4,103"
9,AMARUJALA.COM,"1 ,564,934","3 ,342,759","7 09,044"
10,ASIANETNEWS.COM,-,-,"2 ,472,091"
11,BGR.IN,"7 63,615","1 ,218,096","1 16,666"
12,BHASKAR.COM,"6 ,899,728","2 0,259,337","2 ,679,051"
13,BOLLYWOODBHASKAR.COM,-,"3 90,640",-
14,BOLLYWOODLIFE.COM,-,"6 71,893","6 4,103"
15,BUSINESS-STANDARD.COM,"8 64,474","2 ,151,856","7 09,044"
16,CARDEKHO.COM,-,-,-
17,CATCHNEWS.COM,"8 06,788","7 55,239",-
18,CRICBUZZ.COM,"8 30,766","5 ,386,681","5 43,016"
19,CRICKET.YAHOO.COM,"8 3,345",-,-
20,CRICKETCOUNTRY.COM,-,"6 71,893",-
21,DAILYBHASKAR.COM,"1 88,682",-,-
22,DAILYHUNT.IN,-,-,-
23,DAILYNEWS360.COM,-,-,"7 9,545"
24,DAILYPIONEER.COM,-,-,"6 3,026"
25,DAILYTHANTHI.COM,"6 38,991","1 ,454,427","2 26,328"
26,DAINIKSAVERATIMES.COM,-,-,"6 3,026"
27,DECCANHERALD.COM,-,-,"6 3,026"
28,DIGIT.IN,-,-,"6 4,103"
29,DINAMANI.COM,"8 67,128","1 ,354,071","2 58,373"
30,DIVYABHASKAR.COM,"6 77,232","2 ,198,497","1 48,809"
31,DNAINDIA.COM,-,"3 ,044,400","2 06,960"
32,ECONOMICTIMES.COM,"1 ,738,909","8 ,675,846","2 06,960"
33,EENADU.NET,-,-,-
34,ESAKAL.COM,-,-,-
35,ESPNCRICINFO.COM,"8 71,431","5 ,918,823","6 87,566"
36,FILMIBEAT.COM,"1 88,682","1 ,386,092","6 4,103"
37,FINANCIALEXPRESS.COM,"7 14,474","2 ,356,436","5 93,242"
